job_name,岗位划分,最低薪资,最高薪资,平均薪资,薪资等级,最低经验,最高经验,job_edu,学历要求,城市,区,街道,job_company,公司规模
数据开发工程师,数据开发,13000.0,20000.0,16500.0,10k-20k,3.0,5.0,本科,2,上海,青浦,徐泾,上海均瑶世外教育科技(集团)有限责任公司,5499.5
python开发,其他,13000.0,18000.0,15500.0,10k-20k,5.0,10.0,大专,1,广州,天河,天河南,海南钦诚软件技术有限公司,5499.5
大数据开发工程师（电网）,数据开发,13000.0,16000.0,14500.0,10k-20k,5.0,10.0,本科,2,北京,西城,西长安街,安徽云控信息科技有限公司,199.5
python数据开发工程师,数据开发,13000.0,16000.0,14500.0,10k-20k,3.0,5.0,本科,2,广州,海珠,琶洲,深圳市法本信息技术股份有限公司,5499.5
软件开发工程师,其他,12857.142857142855,25714.28571428571,19285.714285714283,10k-20k,0.0,,本科,2,北京,海淀,,外企德科数字技术有限公司,15000.0
急招python/java/C/C＋＋/js软件开发工程师（26届友好导师带教）,其他,12857.142857142855,25714.28571428571,19285.714285714283,10k-20k,1.0,3.0,本科,2,北京,海淀,,外企德科数字技术有限公司,15000.0
急招python/java/C/C＋＋/js软件开发工程师（26届友好导师带教）,其他,12857.142857142855,25714.28571428571,19285.714285714283,10k-20k,1.0,3.0,本科,2,上海,浦东,金桥,外企德科数字技术有限公司,15000.0
软件开发工程师,其他,12800.0,20000.0,16400.0,10k-20k,1.0,3.0,本科,2,广州,海珠,官洲,文远知行,399.5
python开发工程师,其他,12000.0,18000.0,15000.0,10k-20k,3.0,5.0,本科,2,北京,海淀,海淀街道,北京信利恒丰科技发展有限公司,59.5
大数据工程师,数据开发,12000.0,15000.0,13500.0,10k-20k,3.0,5.0,大专,1,北京,朝阳,三里屯,西安笃定信息技术有限公司,59.5
数据开发工程师,数据开发,12000.0,15000.0,13500.0,10k-20k,0.0,,本科,2,上海,虹口,北外滩,上海交通规划设计研究院有限公司,59.5
python后端开发工程师,后端/全栈,12000.0,24000.0,18000.0,10k-20k,0.0,,本科,2,上海,青浦,金泽,外企德科数字技术有限公司,15000.0
实时数据开发工程师,数据开发,12000.0,15000.0,13500.0,10k-20k,3.0,5.0,本科,2,北京,朝阳,,小葱(江苏)信息科技股份有限公司,59.5
大数据平台运维开发工程师（浪潮云外包）,数据开发,12000.0,13000.0,12500.0,10k-20k,3.0,5.0,本科,2,北京,东城,建国门,鼎欣汇智科技（北京）股份有限公司,5499.5
Python开发工程师,其他,12000.0,16000.0,14000.0,10k-20k,1.0,3.0,本科,2,上海,宝山,顾村,上海乐辰生物科技有限公司,59.5
Python开发工程师（北京外包驻场）,其他,12000.0,20000.0,16000.0,10k-20k,3.0,5.0,本科,2,北京,石景山,苹果园,沈阳东软系统集成工程有限公司,59.5
python开发工程师,其他,12000.0,16000.0,14000.0,10k-20k,1.0,3.0,本科,2,广州,天河,新塘,广州图灵科技有限公司,59.5
python开发工程师,其他,12000.0,18461.53846153846,15230.76923076923,10k-20k,3.0,5.0,本科,2,北京,海淀,,数据磐石科技(北京)有限公司,59.5
数据开发工程师,数据开发,12000.0,18000.0,15000.0,10k-20k,5.0,10.0,本科,2,北京,朝阳,和平街,鼎欣汇智科技（北京）股份有限公司,5499.5
大数据开发工程师,数据开发,12000.0,15000.0,13500.0,10k-20k,5.0,10.0,本科,2,北京,西城,牛街,南京迈特望科技股份有限公司,5499.5
高级数据开发工程师,数据开发,12000.0,20000.0,16000.0,10k-20k,3.0,5.0,本科,2,广州,海珠,琶洲,广州海晟科技有限公司,199.5
大数据开发工程师,数据开发,12000.0,16000.0,14000.0,10k-20k,5.0,10.0,本科,2,北京,西城,西长安街,中电金信软件有限公司,15000.0
行业咨询工程师（数据业务研发）-上海电缆所,其他,12000.0,15000.0,13500.0,10k-20k,0.0,,本科,2,上海,杨浦,长白新村,申能集团,15000.0
大数据开发工程师,数据开发,12000.0,20000.0,16000.0,10k-20k,3.0,5.0,本科,2,北京,朝阳,,北京科博纳信息技术有限公司,59.5
Python工程师,其他,12000.0,15000.0,13500.0,10k-20k,5.0,10.0,大专,1,上海,长宁,新华路,上海朗裕信息科技有限公司,59.5
爬虫副主任,爬虫/采集,12000.0,17000.0,14500.0,10k-20k,1.0,3.0,本科,2,北京,海淀,北下关,北京盈科千信科技有限公司,199.5
