job_name,job_news,job_city,job_ex,job_edu,job_company,c_info,c_num,c_tag
数据开发工程师,2.5-3.5万,上海·浦东·张江,经验不限,本科,苏州人瑞普惠人力资源服务有限公司,上市公司,20-99人,产业互联网平台
python开发工程师,1-1.5万,上海·黄浦·瑞金二路,5-10年,大专,上海朗裕信息科技有限公司,民营,20-99人,软件/IT服务
数据治理工程师,1.3-1.5万,上海·徐汇·龙华,3-5年,本科,上海金亥数智科技有限公司,合资,100-299人,通信/网络设备
帆软报表开发工程师,1-1.5万,上海·浦东·陆家嘴,3-5年,本科,厦门至恒融兴信息技术股份有限公司,民营,1000-9999人,软件/IT服务
python开发工程师-上海,面议,上海·浦东·曹路,5-10年,本科,中软国际,上市公司,10000人以上,软件/IT服务
python（国企驻场-长期稳定）,7000-10000元,上海·浦东·康桥,1-3年,本科,上海金亥数智科技有限公司,合资,100-299人,通信/网络设备
Python后端开发工程师（数据方向）,1.5-1.6万,上海·浦东·张江,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
LLMOps平台研发工程师（大模型平台方向）,1.8-2.2万·13薪,上海·浦东·金桥,1-3年,本科,上海艾策通讯科技股份有限公司,股份制企业,20-99人,通信/网络设备
Python工程师,1.2-1.5万,上海·长宁·新华路,5-10年,大专,上海朗裕信息科技有限公司,民营,20-99人,软件/IT服务
Python开发（全额福利）,1.5-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
软件工程师,1-2万·13薪,上海·徐汇·田林,3-5年,本科,德仪国际贸易(上海)有限公司,外商独资,20-99人,半导体/芯片
python开发工程师,1.3-1.8万,上海·浦东·金桥,5-10年,本科,彩讯科技股份有限公司,上市公司,1000-9999人,软件/IT服务
python,1.2-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
智驾python开发工程师-包2餐,1-1.2万,上海·杨浦·大桥,1-3年,本科,苏州英格玛服务外包股份有限公司,股份制企业,300-499人,人力资源
数据开发工程师（财务业务方面）,1.2-2.2万,上海·宝山·杨行,3-5年,本科,沈阳东硕信息技术有限公司,民营,1000-9999人,软件/IT服务
爬虫工程师,1.4-1.7万,上海·徐汇·龙华,3-5年,本科,上海策贸科技有限公司,,20-99人,软件/IT服务
python开发工程师-包2餐,1-1.2万,上海·杨浦·大桥,1-3年,本科,苏州英格玛服务外包股份有限公司,股份制企业,300-499人,人力资源
AI制药-AI全栈开发工程师（企业直聘非外包+python）,1.5-2.5万,上海·黄浦·外滩,1-3年,本科,深度制耀(北京)科技股份有限公司,外商独资,100-299人,产业互联网平台
数据开发工程师（基金金融）,1.2-1.8万,上海·浦东·陆家嘴,1-3年,本科,合肥吾恒信息科技有限公司,民营,100-299人,软件/IT服务
Dify与钉钉智能体开发工程师,2-2.6万,上海·浦东·高行,3-5年,本科,万宝盛华企业管理咨询（上海）有限公司,上市公司,500-999人,人力资源
python(全额五险一金),1.4-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
Python开发,1.1-1.6万,上海·浦东·金桥,1-3年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
数据开发工程师-中台,1.5-1.6万,上海·浦东·陆家嘴,5-10年,本科,深圳市睿服科技有限公司,股份制企业,1000-9999人,软件/IT服务
数据平台后端开发（Go/Python）(A166501),1.8-2万,上海·闵行·新虹,3-5年,学历不限,中科创达软件股份有限公司,合资,1000-9999人,软件/IT服务
Dify与钉钉智能体开发工程师,2-2.5万,上海·浦东·高行,3-5年,本科,万宝盛华企业管理咨询（上海）有限公司,上市公司,500-999人,人力资源
高级数据治理工程师(J11412),1.7-2.5万·14薪,上海·浦东·陆家嘴,3-5年,本科,艾兰得,民营,1000-9999人,食品/饮品/烟酒制造
Python开发,1.4-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
大数据开发工程师,1-1.5万·15薪,上海·闵行·虹桥,1-3年,本科,欧普照明,民营,1000-9999人,电气机械/电力设备
数据治理工程师,2-3万,上海·浦东·唐镇,3-5年,本科,上海宇量昇科技有限公司,民营,300-499人,半导体/芯片
python后端开发工程师,1.4-1.6万,上海·浦东·唐镇,3-5年,本科,深圳建广数字科技有限公司青岛分公司,民营,20人以下,软件/IT服务
后端开发工程师,1.5-3万,上海·闵行·吴泾,3-5年,本科,上海奥铁通讯技术有限公司,民营,20-99人,通信/网络设备
Python开发工程师,1.6-2.4万,上海·黄浦·外滩,5-10年,本科,八六三软件,国企,500-999人,软件/IT服务
数据开发工程师（电网）,8000-11000元,上海·浦东·潍坊新村,3-5年,本科,安徽云控信息科技有限公司,民营,100-299人,软件/IT服务
大数据开发工程师,2-2.8万·13薪,上海·徐汇·徐家汇,5-10年,本科,浙江柚香谷控股股份有限公司,股份制企业,1000-9999人,食品/饮品/烟酒制造
高级数据工程师（整机数据布局方向）,1.2-2.4万·13薪,上海·浦东·泥城,5-10年,本科,拓荆科技股份有限公司,上市公司,1000-9999人,半导体/芯片
软件开发工程师（Python）,1.5-2万·13薪,上海·浦东·三林,5-10年,本科,威立雅(中国)环境服务有限公司,外商独资,1000-9999人,环保
后端开发工程师（教育集团）,1.1-2万,上海·青浦·徐泾,3-5年,大专,上海均瑶世外教育科技(集团)有限责任公司,民营,1000-9999人,学校/学历教育
数据开发工程师,1.2-1.5万,上海·虹口·北外滩,经验不限,本科,上海交通规划设计研究院有限公司,国企,20-99人,咨询服务
大数据开发工程师,8000-16000元,上海·黄浦·半淞园路,经验不限,本科,上海引贤企业发展有限公司,股份制企业,20-99人,人力资源
python开发工程师,1.3-2.6万·14薪,上海·浦东·金桥,1-3年,本科,北京鼎腾科技有限公司,民营,500-999人,软件/IT服务
大数据开发工程师,2-3万·13薪,上海·徐汇·徐家汇,5-10年,本科,浙江柚香谷控股股份有限公司,股份制企业,1000-9999人,食品/饮品/烟酒制造
服务端研发工程师,3-5.5万·16薪,上海·长宁·天山路,经验不限,本科,上海从鲸信息技术有限公司,民营,10000人以上,互联网电商
python开发工程师,8000-14000元·13薪,上海·浦东·张江,经验不限,本科,陕西涟成科技有限公司,股份制企业,100-299人,云计算
179190-后端开发工程师,面议,上海·浦东·唐镇,1-3年,本科,深圳平安融易投资咨询有限公司,民营,10000人以上,咨询服务
英语高级Python 全栈工程师（AI 原生/RAG）,3-3.5万·13薪,上海·浦东·张江,10年以上,大专,大连弗斯特高新人才发展管理有限公司,民营,1000-9999人,咨询服务
python（福利好 稳定 14-16薪）,1.5-3万,上海·青浦·金泽,1-3年,本科,万宝盛华企业管理咨询（上海）有限公司,上市公司,500-999人,人力资源
Python开发工程师,1.5-3万,上海·嘉定·安亭,1-3年,本科,上海锡威信息科技有限公司,,20人以下,软件/IT服务
python后端开发工程师（中级）,1.3-1.8万,上海·徐汇·虹梅路,1-3年,本科,台州拜亚进出口有限公司,民营,500-999人,金属制品/机加工
数据开发工程师-外包 (MJ003799),1-1.6万,上海·青浦·重固,3-5年,本科,申通快递,上市公司,10000人以上,快递服务
python软件工程师,1-2万,上海·闵行·吴泾,1-3年,本科,汇像信息,民营,100-299人,仪器仪表
中级后端开发工程师（AI Agent 编程方向）,1.4-1.8万,上海·徐汇·虹梅路,1-3年,大专,台州拜亚进出口有限公司,民营,500-999人,金属制品/机加工
大数据工程师,1.3-2万,上海·黄浦·小东门,3-5年,本科,赢时胜,民营,1000-9999人,软件/IT服务
数据治理开发工程师 Python开发方向,1.1-1.4万,上海·徐汇·龙华,1-3年,本科,上海策贸科技有限公司,,20-99人,软件/IT服务
AI 大模型应用开发工程师,1.5-2.5万,上海·徐汇·虹梅路,1-3年,大专,台州拜亚进出口有限公司,民营,500-999人,金属制品/机加工
英语后端开发/大数据开发/python,3-3.5万·13薪,上海·浦东·潍坊新村,5-10年,本科,大连弗斯特高新人才发展管理有限公司,民营,1000-9999人,咨询服务
python开发工程师（安踏）,1-1.5万,上海·闵行·新虹,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
Python 软件研发工程师,1.9-3.5万·14薪,上海·浦东·金桥,经验不限,本科,科锐尔人力资源服务(苏州)有限公司,上市公司,1000-9999人,人力资源
高级python,2-2.5万,上海·长宁·新泾,5-10年,本科,爱多邦(北京)信息技术服务有限公司,民营,100-299人,软件/IT服务
Python开发工程师,1-2万,上海·浦东·金桥,1-3年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
数据工程师（校招）,8000-12000元,上海·浦东·陆家嘴,经验不限,本科,北京中软融鑫计算机系统工程有限公司,股份制企业,500-999人,软件/IT服务
Python开发工程师,2-2.5万,上海·长宁·新泾,5-10年,本科,爱多邦(北京)信息技术服务有限公司,民营,100-299人,软件/IT服务
数据开发工程师,1.3-1.6万,上海·黄浦·半淞园路,5-10年,本科,卓为科技,民营,100-299人,软件/IT服务
大数据开发工程师,1.4-1.7万,上海·黄浦·半淞园路,3-5年,本科,深圳市睿服科技有限公司,股份制企业,1000-9999人,软件/IT服务
数据工程师,8000-11000元,上海·虹口·北外滩,经验不限,本科,上海胜蓝软件技术服务有限公司,民营,20-99人,软件/IT服务
数据开发工程师-外包 (MJ003799),1-1.2万,上海·青浦·重固,1-3年,学历不限,申通快递,上市公司,10000人以上,快递服务
行业咨询工程师（数据业务研发）-上海电缆所,1.2-1.5万,上海·杨浦·长白新村,经验不限,本科,申能集团,国企,10000人以上,矿产/冶金
数据工程师（研发）,9000-12000元,上海·虹口·北外滩,经验不限,本科,上海胜蓝软件技术服务有限公司,民营,20-99人,软件/IT服务
大数据开发工程师（双休+16薪）,2-3.5万·16薪,上海·浦东·陆家嘴,3-5年,本科,湖北睿昕智科技有限公司,,100-299人,软件/IT服务
大数据开发工程师,1-1.5万,上海·浦东·金桥,3-5年,本科,软通动力信息技术(集团)股份有限公司,上市公司,10000人以上,软件/IT服务
大数据工程师,8000-11000元,上海·虹口·北外滩,经验不限,本科,上海胜蓝软件技术服务有限公司,民营,20-99人,软件/IT服务
大数据开发工程师,1.1-1.4万,上海·静安·天目西路,经验不限,本科,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,软件/IT服务
数据开发工程师,1.1-1.4万,上海·浦东·塘桥,1-3年,本科,中科软科技股份有限公司,股份制企业,1000-9999人,软件/IT服务
Python开发工程师,1.2-1.6万,上海·宝山·顾村,1-3年,本科,上海乐辰生物科技有限公司,民营,20-99人,医疗设备/器械/耗材
大数据开发工程师-上海,1.3-1.4万,上海·黄浦·南京东路,3-5年,本科,深圳市睿服科技有限公司,股份制企业,1000-9999人,软件/IT服务
